item_id,store_id,d_1,d_2,d_3,d_4,d_5,d_6,d_7
ITEM_1,WM_282001,6,19,14,10,7,20,6
ITEM_1,WM_143001,18,10,10,20,3,7,2
ITEM_1,WM_431001,20,1,11,5,1,20,0
ITEM_1,WM_560001,11,11,16,9,15,14,14
ITEM_1,WM_462001,18,11,19,2,4,18,6
ITEM_1,WM_160017,20,8,6,17,3,13,17
ITEM_1,WM_600001,8,20,1,19,14,6,11
ITEM_1,WM_641001,7,14,2,13,16,3,17
ITEM_1,WM_110001,7,3,1,5,9,3,17
ITEM_1,WM_522002,11,1,9,3,13,15,14
ITEM_1,WM_781001,7,13,7,20,15,12,17
ITEM_1,WM_500001,14,20,12,8,14,12,0
ITEM_1,WM_452001,6,8,0,11,7,10,18
ITEM_1,WM_144001,16,7,2,2,0,4,9
ITEM_1,WM_302001,6,8,6,8,7,11,1
ITEM_1,WM_700001,0,15,4,2,11,7,2
ITEM_1,WM_226001,0,2,4,14,13,2,0
ITEM_1,WM_141001,4,13,6,8,14,14,9
ITEM_1,WM_250001,12,18,6,16,19,3,4
ITEM_1,WM_400001,6,12,14,10,3,12,6
ITEM_1,WM_440001,18,1,9,12,20,5,11
ITEM_1,WM_533101,11,19,10,6,0,0,19
ITEM_1,WM_492001,12,8,2,6,5,7,8
ITEM_1,WM_444601,4,0,18,9,11,14,8
ITEM_1,WM_834001,19,16,16,19,11,6,1
ITEM_1,WM_520001,2,16,4,16,16,16,1
ITEM_1,WM_530001,1,4,0,0,18,1,20
ITEM_1,WM_632001,11,5,3,10,16,5,4
ITEM_2,WM_282001,19,1,5,10,15,15,0
ITEM_2,WM_143001,8,5,15,2,19,3,18
ITEM_2,WM_431001,2,18,19,6,19,8,0
ITEM_2,WM_560001,7,6,17,7,0,10,17
ITEM_2,WM_462001,9,2,6,15,15,19,16
ITEM_2,WM_160017,1,0,15,11,4,4,8
ITEM_2,WM_600001,8,2,18,15,15,2,19
ITEM_2,WM_641001,0,19,10,16,7,3,5
ITEM_2,WM_110001,7,19,2,15,2,17,13
ITEM_2,WM_522002,17,1,2,15,8,3,0
ITEM_2,WM_781001,3,0,13,20,15,19,7
ITEM_2,WM_500001,6,2,16,0,15,11,18
ITEM_2,WM_452001,13,5,5,12,18,7,1
ITEM_2,WM_144001,20,0,14,0,4,15,18
ITEM_2,WM_302001,3,2,16,16,11,13,20
ITEM_2,WM_700001,5,2,8,4,16,13,20
ITEM_2,WM_226001,2,0,19,20,0,2,17
ITEM_2,WM_141001,9,2,7,13,17,14,1
ITEM_2,WM_250001,9,1,16,7,0,8,10
ITEM_2,WM_400001,15,6,9,2,17,12,6
ITEM_2,WM_440001,3,12,19,0,7,13,15
ITEM_2,WM_533101,13,11,18,14,1,1,18
ITEM_2,WM_492001,16,19,9,5,14,10,4
ITEM_2,WM_444601,0,7,20,11,11,4,6
ITEM_2,WM_834001,3,5,12,19,14,2,7
ITEM_2,WM_520001,19,15,12,17,9,18,16
ITEM_2,WM_530001,18,4,20,8,11,20,0
ITEM_2,WM_632001,0,14,1,15,7,12,20
ITEM_3,WM_282001,0,15,6,4,2,11,15
ITEM_3,WM_143001,18,4,13,4,14,16,13
ITEM_3,WM_431001,19,4,11,15,15,20,6
ITEM_3,WM_560001,3,0,4,9,4,3,1
ITEM_3,WM_462001,19,9,18,0,4,12,3
ITEM_3,WM_160017,15,15,1,16,19,11,17
ITEM_3,WM_600001,2,0,0,18,10,4,11
ITEM_3,WM_641001,2,0,0,7,9,10,11
